DOKUMEN,SENTIMEN,PREPROC,
Saran sih Bikin aja harga ionic 5 itu sama kayak Brio Insya alloh laris manis,Positive,"saran,insya,laris,manis",
Model jelek..kwalitas buruk...harga mahal.??????????...croot,Negative,"jelek,buruk,mahal",
Subsidi hrs tepat sasaran,Positive,"subsidi,tepat,sasar",
"Harus adil dan merata lah Penerima subsidi saat ini jangan jangan pajak pph juga msh subsidi... pemerintah mengkhianati pancasila sila ke lima. Keadilan bagi seluruh rakyat Indonesia. Kl mmg ga mau merata bagusan ga usa subsidi sama sekali. Untungnya subsidi merata (umum), peralihan kendaraan bbm ke listrik lbh cepat. Efeknya apa? 1. Pengurangan konsumsi subsidi BBM 2. Pengurangan polusi 3. Meningkatkan minat pihak swasta dll utk ikut berpartisipasi dalam investasi ekosistem motor listrik",Positive,"harus,adil,terima,subsidi,pajak,subsidi,khianat,sila,adil,bagi,bagus,subsidi,untung,subsidi,alih,cepat,efek,kurang,konsumsi,subsidi,kurang,polusi,tingkat,minat,swasta,partisipasi,investasi",
Jadi ga tepat sasaran donk?. Menurut saya syarat sebelumnya sudah tepat. Hanya saja subsidinya kurang besar jd warga kurang mampu masih pikir2 untuk beli. Seandainya subsidinya 10jt kemungkinan warga kurang mampu pasti lebih berani untuk beli,Positive,"tepat,sasar,urut,syarat,belum,sudah,tepat,subsidi,kurang,besar,kurang,subsidi,kurang,pasti,berani",
"apa sieh.. kok mbulet, aslinya yo tiap SPBU seluruh Indonesia ada tempat nge-charge wes laku.. orng yg mau beli knp masih milih yg konvensional karena klo keluar kota khawatir mau ngecarger dimana..?? wong tdk semua tempat tersedia..! masak klo keluar daerah pulangnya harus ditowing kan gak lucu ??",Negative,"asli,ada,laku,khawatir,masak,pulang,harus,lucu",
buat larangan penjualan kendaraan konvensional,Negative,"buat,larang,jual",
Tambah bikin rakyat susah,Negative,susah,
Modelnya kurang bagus smua.??,Negative,"kurang,bagus",
bagi bagikan secara gratis.. tanpa pajak seumur hidup. kami siap menerima dengan senang hati,Positive,"bagi,bagi,gratis,tanpa,pajak,umur,hidup,siap,terima,senang,hati",
"BUKANNYA GA LAKU, MAHAL ????",Negative,"bukan,laku,mahal",
"Ga jelas market nya, mau high end tapi pengen laku kayak Avanza ya mana bisa. Kalau mau laku keras ya low end tapi harga Avanza. Kalau segmen nya masyarakat Low End tapi harga High End ya ga tercapai.",Negative,"laku,bisa,laku,keras,segmen",
"Saya bingung sama pemerintah Indonesia. Kalian itu pemimpin rakyat Indonesia? Atau karyawan perusahaan asing sih? Ngapain ngasih subsidi kepada produk perusahaan asing? Yg seharusnya lebih diprioritaskan utk mendapat subsidi dari pemerintah Indonesia adalah produk dari perusahaan lokal asli Indonesia, bukan produk asing. Apalagi yg mampu beli mobil hanya golongan kaya. Orang kaya udah banyak duit sejak masih bayi. Lantas Ngapain orang kaya dikasih subsidi???? Kenapa subsidinya gak di relokasi saja utk menopang kehidupan golongan yg kurang mampu yg lebih membutuhkan subsidi dibanding orang kaya? Sekarang saya tanya, negara asing mana yg memberi subsidi utk produk Indonesia yg dijual di negara mereka agar produk Indonesia dapat bersaing dengan produk mereka di pasar negara mereka?? #DontBeStupid",Negative,"bingung,pimpin,usaha,subsidi,usaha,harus,prioritas,subsidi,usaha,asli,bukan,kaya,kaya,duit,lantas,kaya,kasih,subsidi,subsidi,relokasi,topang,hidup,kurang,butuh,subsidi,kaya,subsidi,jual,saing",
"Harga baterai yg mencapai 60% dari harga mobil dan daya tahan nya adalah bahan pertimbangan terpenting sih. Memang kalau dihitung2 ongkos per bulannya mungkin bisa lebih murah atau mirip2 mobil BBM. Tapi yg jadi masalah adalah mobil konvensional pengeluaran bulanan gak kelihatan mahal2 amat, diabnding mobil listrik yg sekali ganti baterai bakalan mirip2 kayak beli mobil baru ??",Negative,"daya,tahan,bahan,ongkos,bisa,murah,ganti,baru",
"Kurang laku karna Station charge minim harus ada setiap berapa jarak dari charge penuh sampai habis bateri untuk roda 2/4, tempat service onderdil tanda tanya. Wajar masih baru orang jadi ragu2 Klau mau benar2 laku siapkan dlu poin2 diatas",Negative,"kurang,laku,minim,harus,ada,jarak,penuh,habis,tanda,wajar,baru,laku,siap",
"Ketersediaan station charging yang jadi masalah, kalo motor udah rame, tapi kalo mobil yang notaben nya sering di pake jalan jauh ya was was lah nanti habis batre tapi gak ada sation kan ribet tapi kalo motor paling di pake sekitar komplek doang,",Negative,"habis,ada,paling,doang",
"subsidi BBM dicabut biar mahal trus muncul si listrik ini dibilang hemat. ini sih analoginya seperti perokok dan non perokok. banyak teorinya...kalo gak merokok sehari sekian2...sebulan sekian..dalam setahun bisa kebeli Nmax..,faktanya yg gak merokok gak kebeli juga motor tetep aja sama2 kredit, biarpun gak merokok gak kekumpul juga duit segitu. ini juga pake mobil BBM keluar biaya sekian2...biaya ini itu perawan dll dalam setahun sekian juta...kalo pake mobil listrik cuma sekian.",Negative,"subsidi,cabut,mahal,muncul,hemat,non,teori,rokok,bisa,fakta,rokok,kredit,rokok,kumpul,duit,biaya,biaya,perawan",
"EV msih belum nyaman dsni, klo dipaksain palingan cman Jabodetabek dan kota besar provinsi aj tahan beli dlu Skalian nunggu Sodium battery dan SolidState battery",Negative,"belum,nyaman,paling,besar,provinsi,tahan,sodium",
"Nungguin pengganti lithium, yaitu solid state battery rilis resmi",Positive,"ganti,solid,rilis,resmi",
KENDARAN LISTRIK PLG RAWAN KEBAKAR & TDK MUDAH DIPADAMKAN,Negative,"rawan,bakar,mudah,padam",
Tambah bikin rakyat susah,Negative,susah,
Dukung terus dan doakan supaya negara kita makmur bisa produksi sndirikan,Positive,"dukung,doa,makmur,bisa,produksi",
"Bukan gak mau beli,tapi terlalu mahal??",Negative,"bukan,mahal",
batrenya mahal klo rusak,Negative,"mahal,rusak",
Fokus kendaraan umum dan mental,Positive,"fokus,mental",
Orang butuh mobil murah,Positive,"butuh,murah",
"seharusnya utamakan kendaraan umum yang diubah jadi kendaraan listrik, jadi masyarakat bisa menilai sendiri plus minusnya secara langsung",Positive,"harus,utama,ubah,bisa,plus,minus,langsung",
"Yang saya inginkan cuma 1, Jalan Raya seluruh Indonesia Mulus tanpa Lobang�, terutama jalan� Antar Propinsi dan Kebupaten, Harusnya bukan cuma sibuk bangun Tol, tol itu di bayar, rakyat kecil tidak mungkin bisa menikmati Tol. Bagaimana Ekomoni masyrakat Kecil seluruh Indonesia bisa Maju, kalau jalan saja rusak�, sedangkan segala kebutuhan pokok pedagang� kecil di angkut lewat jalan..yg rusak itu.",Positive,"mulus,tanpa,utama,harus,bukan,sibuk,bangun,tidak,bisa,nikmat,bisa,maju,rusak,butuh,pokok,dagang,angkut,rusak",
Gak laku karena terlalu mahal,Negative,"laku,mahal",
Susahnya itu kalo dirumah listriknya masih pakai token...??,Negative,susah,
