Terms,Positive Probability,Negative Probability,Predicted Sentiment,Truth Sentiment
"saran,insya,laris,manis",7.43E-09,3.71E-10,Positive,Positive
"jelek,buruk,mahal",8.73E-08,1.93E-06,Negative,Negative
"subsidi,tepat,sasar",3.14E-06,2.42E-07,Positive,Positive
"harus,adil,terima,subsidi,pajak,subsidi,khianat,sila,adil,bagi,bagus,subsidi,untung,subsidi,alih,cepat,efek,kurang,konsumsi,subsidi,kurang,polusi,tingkat,minat,swasta,partisipasi,investasi",3.23E-41,6.80E-48,Positive,Positive
"tepat,sasar,urut,syarat,belum,sudah,tepat,subsidi,kurang,besar,kurang,subsidi,kurang,pasti,berani",7.73E-22,7.87E-25,Positive,Positive
"asli,ada,laku,khawatir,masak,pulang,harus,lucu",1.11E-18,6.43E-16,Negative,Negative
"buat,larang,jual",8.73E-08,9.67E-07,Negative,Negative
susah,3.08E-03,1.14E-02,Negative,Negative
"kurang,bagus",9.84E-05,1.40E-04,Negative,Negative
"bagi,bagi,gratis,tanpa,pajak,umur,hidup,siap,terima,senang,hati",3.63E-20,1.42E-23,Positive,Positive
"bukan,laku,mahal",8.73E-08,9.67E-06,Negative,Negative
"laku,bisa,laku,keras,segmen",1.39E-09,2.97E-08,Negative,Negative
"bingung,pimpin,usaha,subsidi,usaha,harus,prioritas,subsidi,usaha,asli,bukan,kaya,kaya,duit,lantas,kaya,kasih,subsidi,subsidi,relokasi,topang,hidup,kurang,butuh,subsidi,kaya,subsidi,jual,saing",5.16E-42,7.08E-38,Negative,Negative
"daya,tahan,bahan,ongkos,bisa,murah,ganti,baru",4.46E-18,1.93E-16,Negative,Negative
"kurang,laku,minim,harus,ada,jarak,penuh,habis,tanda,wajar,baru,laku,siap",5.35E-27,1.39E-23,Negative,Negative
"habis,ada,paling,doang",4.64E-10,2.67E-08,Negative,Negative
"subsidi,cabut,mahal,muncul,hemat,non,teori,rokok,bisa,fakta,rokok,kredit,rokok,kumpul,duit,biaya,biaya,perawan",5.37E-34,3.27E-30,Negative,Negative
"belum,nyaman,paling,besar,provinsi,tahan,sodium",2.79E-16,1.05E-14,Negative,Negative
"ganti,solid,rilis,resmi",7.43E-09,7.43E-10,Positive,Positive
"rawan,bakar,mudah,padam",4.64E-10,5.94E-09,Negative,Negative
susah,3.08E-03,1.14E-02,Negative,Negative
"dukung,doa,makmur,bisa,produksi",1.19E-10,6.85E-12,Positive,Positive
"bukan,mahal",1.64E-05,4.20E-04,Negative,Negative
"mahal,rusak",1.64E-05,2.10E-04,Negative,Negative
"fokus,mental",6.56E-05,1.75E-05,Positive,Positive
"butuh,murah",6.56E-05,7.00E-05,Negative,Positive
"harus,utama,ubah,bisa,plus,minus,langsung",2.01E-14,5.82E-16,Positive,Positive
"mulus,tanpa,utama,harus,bukan,sibuk,bangun,tidak,bisa,nikmat,bisa,maju,rusak,butuh,pokok,dagang,angkut,rusak",1.71E-35,8.72E-36,Positive,Positive
"laku,mahal",1.64E-05,5.25E-04,Negative,Negative
"laku,jual,dikit,jual,aji,mumpung,barang,jual",1.31E-14,1.18E-13,Negative,Negative
