Term,TF,DF
saran,1,1
insya,1,1
laris,1,1
manis,1,1
jelek,1,1
buruk,1,1
mahal,1,6
subsidi,1,5
tepat,1,2
sasar,1,2
harus,1,6
adil,2,1
terima,1,2
pajak,1,2
khianat,1,1
sila,1,1
bagi,1,2
bagus,1,2
untung,1,1
alih,1,1
cepat,1,1
efek,1,1
kurang,2,5
konsumsi,1,1
polusi,1,1
tingkat,1,1
minat,1,1
swasta,1,1
partisipasi,1,1
investasi,1,1
urut,1,1
syarat,1,1
belum,1,2
sudah,1,1
besar,1,2
pasti,1,1
berani,1,1
asli,1,2
ada,1,3
laku,1,6
khawatir,1,1
masak,1,1
pulang,1,1
lucu,1,1
buat,1,1
larang,1,1
jual,1,3
susah,1,2
gratis,1,1
tanpa,1,2
umur,1,1
hidup,1,2
siap,1,2
senang,1,1
hati,1,1
bukan,1,4
bisa,1,6
keras,1,1
segmen,1,1
bingung,1,1
pimpin,1,1
usaha,3,1
prioritas,1,1
kaya,4,1
duit,1,2
lantas,1,1
kasih,1,1
relokasi,1,1
topang,1,1
butuh,1,3
saing,1,1
daya,1,1
tahan,1,2
bahan,1,1
ongkos,1,1
murah,1,2
ganti,1,2
baru,1,2
minim,1,1
jarak,1,1
penuh,1,1
habis,1,2
tanda,1,1
wajar,1,1
paling,1,2
doang,1,1
cabut,1,1
muncul,1,1
hemat,1,1
non,1,1
teori,1,1
rokok,3,1
fakta,1,1
kredit,1,1
kumpul,1,1
biaya,2,1
perawan,1,1
nyaman,1,1
provinsi,1,1
sodium,1,1
solid,1,1
rilis,1,1
resmi,1,1
rawan,1,1
bakar,1,1
mudah,1,1
padam,1,1
dukung,1,1
doa,1,1
makmur,1,1
produksi,1,1
rusak,1,2
fokus,1,1
mental,1,1
utama,1,2
ubah,1,1
plus,1,1
minus,1,1
langsung,1,1
mulus,1,1
sibuk,1,1
bangun,1,1
tidak,1,1
nikmat,1,1
maju,1,1
pokok,1,1
dagang,1,1
angkut,1,1
dikit,1,1
aji,1,1
mumpung,1,1
barang,1,1
